Lap,Metric,Task,Value,Unit
All,Total indexing time,,209.64986666666667,min
All,Min indexing time per shard,,0,min
All,Median indexing time per shard,,0.012775,min
All,Max indexing time per shard,,24.594416666666667,min
All,Total merge time,,214.87451666666666,min
All,Min merge time per shard,,0,min
All,Median merge time per shard,,0.0089,min
All,Max merge time per shard,,37.94916666666666,min
All,Total merge throttle time,,22.52081666666667,min
All,Min merge throttle time per shard,,0,min
All,Median merge throttle time per shard,,0.0,min
All,Max merge throttle time per shard,,4.496783333333334,min
All,Total refresh time,,91.36378333333333,min
All,Min refresh time per shard,,0,min
All,Median refresh time per shard,,0.025241666666666666,min
All,Max refresh time per shard,,14.705816666666667,min
All,Total flush time,,1.2075666666666665,min
All,Min flush time per shard,,0,min
All,Median flush time per shard,,0.010033333333333333,min
All,Max flush time per shard,,0.046483333333333335,min
All,Total Young Gen GC,,244.234,s
All,Total Old Gen GC,,1.14,s
All,Store size,,20.451660271734,GB
All,Translog size,,1.1857123766094446,GB
All,Heap used for segments,,47.700833320617676,MB
All,Heap used for doc values,,1.6338005065917969,MB
All,Heap used for terms,,41.538878440856934,MB
All,Heap used for norms,,0.41943359375,MB
All,Heap used for points,,0.5233478546142578,MB
All,Heap used for stored fields,,3.5853729248046875,MB
All,Segment count,,675,
All,Min Throughput,index-append,65744.81,docs/s
All,Median Throughput,index-append,66254.34,docs/s
All,Max Throughput,index-append,66423.24,docs/s
All,50th percentile latency,index-append,4248.6916725029005,ms
All,90th percentile latency,index-append,4830.924496805528,ms
All,99th percentile latency,index-append,5417.053889872041,ms
All,100th percentile latency,index-append,5813.97726200521,ms
All,50th percentile service time,index-append,4248.6916725029005,ms
All,90th percentile service time,index-append,4830.924496805528,ms
All,99th percentile service time,index-append,5417.053889872041,ms
All,100th percentile service time,index-append,5813.97726200521,ms
All,error rate,index-append,0.00,%
All,Min Throughput,index-stats,23.96,ops/s
All,Median Throughput,index-stats,24.19,ops/s
All,Max Throughput,index-stats,24.68,ops/s
All,50th percentile latency,index-stats,31364.458334515803,ms
All,90th percentile latency,index-stats,44394.5654356241,ms
All,99th percentile latency,index-stats,47216.237186849175,ms
All,99.9th percentile latency,index-stats,47479.13571524783,ms
All,100th percentile latency,index-stats,47506.59047602676,ms
All,50th percentile service time,index-stats,39.076288492651656,ms
All,90th percentile service time,index-stats,47.442355411476456,ms
All,99th percentile service time,index-stats,93.00280623341676,ms
All,99.9th percentile service time,index-stats,108.69130557528749,ms
All,100th percentile service time,index-stats,179.03546799789183,ms
All,error rate,index-stats,0.00,%
All,Min Throughput,node-stats,23.53,ops/s
All,Median Throughput,node-stats,23.93,ops/s
All,Max Throughput,node-stats,25.28,ops/s
All,50th percentile latency,node-stats,19474.602025497006,ms
