Lap,Metric,Task,Value,Unit
All,Total indexing time,,245.9823,min
All,Min indexing time per shard,,0,min
All,Median indexing time per shard,,0.013508333333333334,min
All,Max indexing time per shard,,30.973866666666666,min
All,Total merge time,,242.9926,min
All,Min merge time per shard,,0,min
All,Median merge time per shard,,0.0089,min
All,Max merge time per shard,,37.94916666666666,min
All,Total merge throttle time,,20.9733,min
All,Min merge throttle time per shard,,0,min
All,Median merge throttle time per shard,,0.0,min
All,Max merge throttle time per shard,,4.496783333333334,min
All,Total refresh time,,108.79806666666667,min
All,Min refresh time per shard,,0,min
All,Median refresh time per shard,,0.025241666666666666,min
All,Max refresh time per shard,,14.705816666666667,min
All,Total flush time,,1.2973,min
All,Min flush time per shard,,0,min
All,Median flush time per shard,,0.010283333333333334,min
All,Max flush time per shard,,0.05001666666666667,min
All,Total Young Gen GC,,242.367,s
All,Total Old Gen GC,,1.533,s
All,Store size,,23.68030553124845,GB
All,Translog size,,1.0548330442979932,GB
All,Heap used for segments,,47.37112045288086,MB
All,Heap used for doc values,,1.8843193054199219,MB
All,Heap used for terms,,40.63244152069092,MB
All,Heap used for norms,,0.48297119140625,MB
All,Heap used for points,,0.5170259475708008,MB
All,Heap used for stored fields,,3.8543624877929688,MB
All,Segment count,,719,
All,error rate,index-append,0.00,%
All,Min Throughput,index-stats,18.57,ops/s
All,Median Throughput,index-stats,20.51,ops/s
All,Max Throughput,index-stats,21.12,ops/s
All,50th percentile latency,index-stats,38674.60735901841,ms
All,90th percentile latency,index-stats,52484.872341828304,ms
All,99th percentile latency,index-stats,55973.57066430268,ms
All,99.9th percentile latency,index-stats,56297.89179336617,ms
All,100th percentile latency,index-stats,56330.419610021636,ms
All,50th percentile service time,index-stats,40.994943512487225,ms
All,90th percentile service time,index-stats,48.417459792108275,ms
All,99th percentile service time,index-stats,129.02684719709214,ms
All,99.9th percentile service time,index-stats,173.25386431888924,ms
All,100th percentile service time,index-stats,174.93651300901547,ms
All,error rate,index-stats,0.00,%
All,Min Throughput,node-stats,23.47,ops/s
All,Median Throughput,node-stats,24.00,ops/s
All,Max Throughput,node-stats,24.79,ops/s
All,50th percentile latency,node-stats,19245.97096600337,ms
All,90th percentile latency,node-stats,31857.935470319353,ms
All,99th percentile latency,node-stats,34954.86562388425,ms
All,99.9th percentile latency,node-stats,35214.73268476268,ms
All,100th percentile latency,node-stats,35240.98618901917,ms
All,50th percentile service time,node-stats,38.75655450974591,ms
All,90th percentile service time,node-stats,46.721104593598284,ms
All,99th percentile service time,node-stats,116.60434291959969,ms
All,99.9th percentile service time,node-stats,157.18041668110652,ms
All,100th percentile service time,node-stats,170.95232199062593,ms
All,error rate,node-stats,0.00,%
All,Min Throughput,default,23.84,ops/s
All,Median Throughput,default,24.70,ops/s
All,Max Throughput,default,24.95,ops/s
All,50th percentile latency,default,20502.95433049905,ms
All,90th percentile latency,default,28252.446031291038,ms
All,99th percentile latency,default,30137.731660278805,ms
All,99.9th percentile latency,default,30360.573153394304,ms
All,100th percentile latency,default,30376.303777011344,ms
All,50th percentile service time,default,37.58992701477837,ms
All,90th percentile service time,default,46.681953899678774,ms
All,99th percentile service time,default,62.84913088951725,ms
All,99.9th percentile service time,default,83.60898075459582,ms
All,100th percentile service time,default,102.82449499936774,ms
All,error rate,default,0.00,%
All,Min Throughput,term,70.00,ops/s
All,Median Throughput,term,71.74,ops/s
All,Max Throughput,term,74.49,ops/s
All,50th percentile latency,term,8959.7722095059,ms
All,90th percentile latency,term,11846.934473424335,ms
