Lap,Metric,Task,Value,Unit
All,Total indexing time,,270.60655,min
All,Min indexing time per shard,,0,min
All,Median indexing time per shard,,0.0228,min
All,Max indexing time per shard,,23.544500000000003,min
All,Total merge time,,358.10218333333336,min
All,Min merge time per shard,,0,min
All,Median merge time per shard,,0.020133333333333333,min
All,Max merge time per shard,,36.20386666666666,min
All,Total merge throttle time,,36.85538333333333,min
All,Min merge throttle time per shard,,0,min
All,Median merge throttle time per shard,,0,min
All,Max merge throttle time per shard,,4.08045,min
All,Total refresh time,,165.61358333333334,min
All,Min refresh time per shard,,0,min
All,Median refresh time per shard,,0.030833333333333334,min
All,Max refresh time per shard,,14.77725,min
All,Total flush time,,1.1666833333333335,min
All,Min flush time per shard,,0,min
All,Median flush time per shard,,0.01085,min
All,Max flush time per shard,,0.045116666666666666,min
All,Total Young Gen GC,,212.18,s
All,Total Old Gen GC,,0.991,s
All,Store size,,33.37147375755012,GB
All,Translog size,,1.079136016778648,GB
All,Heap used for segments,,63.939351081848145,MB
All,Heap used for doc values,,2.496868133544922,MB
All,Heap used for terms,,54.56213665008545,MB
All,Heap used for norms,,0.57818603515625,MB
All,Heap used for points,,0.7454967498779297,MB
All,Heap used for stored fields,,5.556663513183594,MB
All,Segment count,,715,
All,Min Throughput,index-append,50705.54,docs/s
All,Median Throughput,index-append,51264.15,docs/s
All,Max Throughput,index-append,51466.50,docs/s
All,50th percentile latency,index-append,715.4934479913209,ms
All,90th percentile latency,index-append,852.9385500005446,ms
All,99th percentile latency,index-append,1022.3858460085467,ms
All,99.9th percentile latency,index-append,1583.0458017415385,ms
All,100th percentile latency,index-append,1636.9837440142874,ms
All,50th percentile service time,index-append,715.4934479913209,ms
All,90th percentile service time,index-append,852.9385500005446,ms
All,99th percentile service time,index-append,1022.3858460085467,ms
All,99.9th percentile service time,index-append,1583.0458017415385,ms
All,100th percentile service time,index-append,1636.9837440142874,ms
All,error rate,index-append,0.00,%
All,Min Throughput,index-stats,22.69,ops/s
All,Median Throughput,index-stats,22.99,ops/s
All,Max Throughput,index-stats,23.75,ops/s
All,50th percentile latency,index-stats,33467.39296949818,ms
All,90th percentile latency,index-stats,47499.89262918534,ms
All,99th percentile latency,index-stats,50485.100049257744,ms
All,99.9th percentile latency,index-stats,50769.35509381324,ms
All,100th percentile latency,index-stats,50798.90634099138,ms
All,50th percentile service time,index-stats,42.51491049944889,ms
All,90th percentile service time,index-stats,49.797119011054754,ms
All,99th percentile service time,index-stats,113.58050127135353,ms
All,99.9th percentile service time,index-stats,140.70211577293236,ms
All,100th percentile service time,index-stats,141.33925299393013,ms
All,error rate,index-stats,0.00,%
All,Min Throughput,node-stats,22.26,ops/s
All,Median Throughput,node-stats,23.94,ops/s
All,Max Throughput,node-stats,24.21,ops/s
All,50th percentile latency,node-stats,19064.780337008415,ms
