Lap,Metric,Task,Value,Unit
All,100th percentile latency,scroll,121602.4283900042,ms
All,50th percentile service time,scroll,1385.3410719893873,ms
All,90th percentile service time,scroll,1497.0696864038473,ms
All,99th percentile service time,scroll,1530.9777539194329,ms
All,100th percentile service time,scroll,1539.1598000132944,ms
All,error rate,scroll,0.00,%
All,Min Throughput,expression,1.69,ops/s
All,Median Throughput,expression,1.70,ops/s
All,Max Throughput,expression,1.71,ops/s
All,50th percentile latency,expression,22629.22603149491,ms
All,90th percentile latency,expression,25076.96557319432,ms
All,99th percentile latency,expression,26051.47519365797,ms
All,100th percentile latency,expression,26226.882566988934,ms
All,50th percentile service time,expression,550.1995235099457,ms
All,90th percentile service time,expression,665.6647677824367,ms
All,99th percentile service time,expression,749.1671166557355,ms
All,100th percentile service time,expression,786.5619579970371,ms
All,error rate,expression,0.00,%
All,Min Throughput,painless_static,1.04,ops/s
All,Median Throughput,painless_static,1.05,ops/s
All,Max Throughput,painless_static,1.05,ops/s
All,50th percentile latency,painless_static,73211.88333065948,ms
All,90th percentile latency,painless_static,83369.91392496857,ms
All,99th percentile latency,painless_static,86003.89249741216,ms
All,100th percentile latency,painless_static,86264.25092265708,ms
All,50th percentile service time,painless_static,936.8083140143426,ms
All,90th percentile service time,painless_static,1061.4553910854738,ms
All,99th percentile service time,painless_static,1136.4666039231818,ms
All,100th percentile service time,painless_static,1166.7939600010868,ms
All,error rate,painless_static,0.00,%
All,Min Throughput,painless_dynamic,1.19,ops/s
All,Median Throughput,painless_dynamic,1.20,ops/s
All,Max Throughput,painless_dynamic,1.21,ops/s
All,50th percentile latency,painless_dynamic,41993.74259369506,ms
All,90th percentile latency,painless_dynamic,47575.274327077204,ms
All,99th percentile latency,painless_dynamic,48996.40084617684,ms
All,100th percentile latency,painless_dynamic,49104.21667867922,ms
All,50th percentile service time,painless_dynamic,773.7653335061623,ms
All,90th percentile service time,painless_dynamic,932.8370575851295,ms
All,99th percentile service time,painless_dynamic,1108.5441496002031,ms
All,100th percentile service time,painless_dynamic,1275.6049270101357,ms
All,error rate,painless_dynamic,0.00,%
All,error rate,large_terms,0.00,%
All,Min Throughput,large_filtered_terms,0.74,ops/s
All,Median Throughput,large_filtered_terms,0.75,ops/s
All,Max Throughput,large_filtered_terms,0.76,ops/s
All,50th percentile latency,large_filtered_terms,210276.2958180101,ms
All,90th percentile latency,large_filtered_terms,240010.98172918428,ms
All,99th percentile latency,large_filtered_terms,246228.82450413192,ms
All,100th percentile latency,large_filtered_terms,246975.49588303082,ms
All,50th percentile service time,large_filtered_terms,1254.175642010523,ms
All,90th percentile service time,large_filtered_terms,1330.1275515987072,ms
All,99th percentile service time,large_filtered_terms,1371.4227398985538,ms
All,100th percentile service time,large_filtered_terms,1517.3473409959115,ms
All,error rate,large_filtered_terms,0.00,%
All,Min Throughput,large_prohibited_terms,0.75,ops/s
All,Median Throughput,large_prohibited_terms,0.76,ops/s
All,Max Throughput,large_prohibited_terms,0.76,ops/s
All,50th percentile latency,large_prohibited_terms,205697.48007151065,ms
All,90th percentile latency,large_prohibited_terms,237309.3769665982,ms
All,99th percentile latency,large_prohibited_terms,244056.9872827467,ms
All,100th percentile latency,large_prohibited_terms,244928.15894202795,ms
All,50th percentile service time,large_prohibited_terms,1271.0472299950197,ms
All,90th percentile service time,large_prohibited_terms,1425.742404005723,ms
All,99th percentile service time,large_prohibited_terms,1526.950734360144,ms
All,100th percentile service time,large_prohibited_terms,1614.750698034186,ms
All,error rate,large_prohibited_terms,0.00,%
