Lap,Metric,Task,Value,Unit
All,Total indexing time,,224.45323333333332,min
All,Min indexing time per shard,,0,min
All,Median indexing time per shard,,0.012883333333333333,min
All,Max indexing time per shard,,25.177033333333334,min
All,Total merge time,,223.30621666666667,min
All,Min merge time per shard,,0,min
All,Median merge time per shard,,0.0089,min
All,Max merge time per shard,,37.94916666666666,min
All,Total merge throttle time,,21.989816666666666,min
All,Min merge throttle time per shard,,0,min
All,Median merge throttle time per shard,,0.0,min
All,Max merge throttle time per shard,,4.496783333333334,min
All,Total refresh time,,95.77475,min
All,Min refresh time per shard,,0,min
All,Median refresh time per shard,,0.025241666666666666,min
All,Max refresh time per shard,,14.705816666666667,min
All,Total flush time,,1.2468666666666666,min
All,Min flush time per shard,,0,min
All,Median flush time per shard,,0.009741666666666668,min
All,Max flush time per shard,,0.04683333333333333,min
All,Total Young Gen GC,,270.061,s
All,Total Old Gen GC,,1.285,s
All,Store size,,21.38674043957144,GB
All,Translog size,,1.200233155861497,GB
All,Heap used for segments,,49.61873722076416,MB
All,Heap used for doc values,,1.7072868347167969,MB
All,Heap used for terms,,43.1856803894043,MB
All,Heap used for norms,,0.455322265625,MB
All,Heap used for points,,0.5495004653930664,MB
All,Heap used for stored fields,,3.720947265625,MB
All,Segment count,,715,
All,Min Throughput,index-append,54031.80,docs/s
All,Median Throughput,index-append,54612.76,docs/s
All,Max Throughput,index-append,56972.45,docs/s
All,50th percentile latency,index-append,8713.404886017088,ms
All,90th percentile latency,index-append,10095.08737581782,ms
All,99th percentile latency,index-append,10216.857291169581,ms
All,100th percentile latency,index-append,10276.836122007808,ms
All,50th percentile service time,index-append,8713.404886017088,ms
All,90th percentile service time,index-append,10095.08737581782,ms
All,99th percentile service time,index-append,10216.857291169581,ms
All,100th percentile service time,index-append,10276.836122007808,ms
All,error rate,index-append,10.11,%
All,Min Throughput,index-stats,22.89,ops/s
All,Median Throughput,index-stats,23.26,ops/s
All,Max Throughput,index-stats,23.64,ops/s
All,50th percentile latency,index-stats,32991.13668350037,ms
All,90th percentile latency,index-stats,47167.445892698015,ms
All,99th percentile latency,index-stats,50043.30566626275,ms
All,99.9th percentile latency,index-stats,50343.664663784,ms
All,100th percentile latency,index-stats,50374.656459986,ms
All,50th percentile service time,index-stats,41.67000501183793,ms
All,90th percentile service time,index-stats,49.46413650177419,ms
All,99th percentile service time,index-stats,116.0548680584179,ms
All,99.9th percentile service time,index-stats,131.9278074965117,ms
All,100th percentile service time,index-stats,135.2759379951749,ms
All,error rate,index-stats,0.00,%
All,Min Throughput,node-stats,23.39,ops/s
All,Median Throughput,node-stats,23.59,ops/s
All,Max Throughput,node-stats,24.41,ops/s
All,50th percentile latency,node-stats,19396.092606009915,ms
All,90th percentile latency,node-stats,32531.726419221377,ms
All,99th percentile latency,node-stats,35212.590091055026,ms
All,99.9th percentile latency,node-stats,35478.41487168049,ms
All,100th percentile latency,node-stats,35508.11483000871,ms
All,50th percentile service time,node-stats,39.77298049721867,ms
All,90th percentile service time,node-stats,46.12101539678406,ms
All,99th percentile service time,node-stats,125.45491962780942,ms
All,99.9th percentile service time,node-stats,171.80694729503065,ms
All,100th percentile service time,node-stats,177.80723999021575,ms
All,error rate,node-stats,0.00,%
All,Min Throughput,default,22.20,ops/s
All,Median Throughput,default,22.57,ops/s
All,Max Throughput,default,22.75,ops/s
All,50th percentile latency,default,24012.064317488694,ms
All,90th percentile latency,default,34302.908547603874,ms
All,99th percentile latency,default,37329.40364709968,ms
All,99.9th percentile latency,default,37545.455820486095,ms
All,100th percentile latency,default,37575.82888499019,ms
All,50th percentile service time,default,42.8462904819753,ms
All,90th percentile service time,default,54.790140318800695,ms
All,99th percentile service time,default,77.69300230895168,ms
All,99.9th percentile service time,default,110.41123392153675,ms
All,100th percentile service time,default,126.37117801932618,ms
All,error rate,default,0.00,%
All,Min Throughput,term,73.83,ops/s
All,Median Throughput,term,76.31,ops/s
All,Max Throughput,term,77.29,ops/s
All,50th percentile latency,term,8005.232834504568,ms
All,90th percentile latency,term,11547.560568992049,ms
All,99th percentile latency,term,12309.67110787693,ms
All,99.9th percentile latency,term,12482.915646552925,ms
All,100th percentile latency,term,12493.961146014044,ms
All,50th percentile service time,term,12.39169150358066,ms
All,90th percentile service time,term,15.766719897510484,ms
All,99th percentile service time,term,38.174325443105765,ms
All,99.9th percentile service time,term,45.63091208724687,ms
All,100th percentile service time,term,49.23939998843707,ms
All,error rate,term,0.00,%
All,Min Throughput,phrase,62.46,ops/s
All,Median Throughput,phrase,63.74,ops/s
All,Max Throughput,phrase,65.43,ops/s
All,50th percentile latency,phrase,10673.563714502961,ms
All,90th percentile latency,phrase,14439.313330905861,ms
All,99th percentile latency,phrase,15318.384374955203,ms
All,99.9th percentile latency,phrase,15408.341668371228,ms
All,100th percentile latency,phrase,15415.33501201775,ms
All,50th percentile service time,phrase,13.752056504017673,ms
All,90th percentile service time,phrase,17.57087961304933,ms
All,99th percentile service time,phrase,36.24393605190562,ms
All,99.9th percentile service time,phrase,59.537308714091665,ms
All,100th percentile service time,phrase,71.18535801419057,ms
All,error rate,phrase,0.00,%
