Lap,Metric,Task,Value,Unit
All,Total indexing time,,240.90586666666667,min
All,Min indexing time per shard,,0,min
All,Median indexing time per shard,,0.013016666666666668,min
All,Max indexing time per shard,,24.594416666666667,min
All,Total merge time,,232.25678333333332,min
All,Min merge time per shard,,0,min
All,Median merge time per shard,,0.0089,min
All,Max merge time per shard,,37.94916666666666,min
All,Total merge throttle time,,21.97025,min
All,Min merge throttle time per shard,,0,min
All,Median merge throttle time per shard,,0.0,min
All,Max merge throttle time per shard,,4.496783333333334,min
All,Total refresh time,,99.01401666666668,min
All,Min refresh time per shard,,0,min
All,Median refresh time per shard,,0.025241666666666666,min
All,Max refresh time per shard,,14.705816666666667,min
All,Total flush time,,1.2630833333333333,min
All,Min flush time per shard,,0,min
All,Median flush time per shard,,0.010033333333333333,min
All,Max flush time per shard,,0.048133333333333334,min
All,Total Young Gen GC,,270.949,s
All,Total Old Gen GC,,1.062,s
All,Store size,,21.98601210862398,GB
All,Translog size,,1.1337205078452826,GB
All,Heap used for segments,,48.27542018890381,MB
All,Heap used for doc values,,1.7053604125976562,MB
All,Heap used for terms,,41.805514335632324,MB
All,Heap used for norms,,0.4656982421875,MB
All,Heap used for points,,0.5408134460449219,MB
All,Heap used for stored fields,,3.7580337524414062,MB
All,Segment count,,692,
All,Min Throughput,index-append,4758.83,docs/s
All,Median Throughput,index-append,5059.20,docs/s
All,Max Throughput,index-append,5517.96,docs/s
All,50th percentile latency,index-append,10158.262395008933,ms
All,90th percentile latency,index-append,10265.717547404347,ms
All,99th percentile latency,index-append,10407.220377522754,ms
All,100th percentile latency,index-append,10421.185684012016,ms
All,50th percentile service time,index-append,10158.262395008933,ms
All,90th percentile service time,index-append,10265.717547404347,ms
All,99th percentile service time,index-append,10407.220377522754,ms
All,100th percentile service time,index-append,10421.185684012016,ms
All,error rate,index-append,100.00,%
All,Min Throughput,index-stats,22.38,ops/s
All,Median Throughput,index-stats,22.51,ops/s
All,Max Throughput,index-stats,22.90,ops/s
All,50th percentile latency,index-stats,34506.38604500273,ms
All,90th percentile latency,index-stats,48419.96215051331,ms
All,99th percentile latency,index-stats,51387.066095376504,ms
All,99.9th percentile latency,index-stats,51786.99669382037,ms
All,100th percentile latency,index-stats,51818.06943999254,ms
All,50th percentile service time,index-stats,41.00329849461559,ms
All,90th percentile service time,index-stats,48.76689261000138,ms
All,99th percentile service time,index-stats,128.46400750771863,ms
All,99.9th percentile service time,index-stats,179.9623085589965,ms
All,100th percentile service time,index-stats,311.5581320016645,ms
All,error rate,index-stats,0.00,%
All,Min Throughput,node-stats,24.34,ops/s
All,Median Throughput,node-stats,24.54,ops/s
All,Max Throughput,node-stats,25.09,ops/s
All,50th percentile latency,node-stats,18303.544290014543,ms
All,90th percentile latency,node-stats,31061.182413206552,ms
All,99th percentile latency,node-stats,33596.45035599213,ms
All,99.9th percentile latency,node-stats,34093.09220738144,ms
All,100th percentile latency,node-stats,34123.143517033895,ms
All,50th percentile service time,node-stats,38.00196250085719,ms
All,90th percentile service time,node-stats,44.631259492598474,ms
All,99th percentile service time,node-stats,114.27211348462151,ms
All,99.9th percentile service time,node-stats,197.42577517140523,ms
All,100th percentile service time,node-stats,221.3220309931785,ms
All,error rate,node-stats,0.00,%
