Lap,Metric,Task,Value,Unit
All,Total indexing time,,176.13950000000003,min
All,Min indexing time per shard,,0,min
All,Median indexing time per shard,,0.009333333333333334,min
All,Max indexing time per shard,,19.382366666666666,min
All,Total merge time,,234.38631666666666,min
All,Min merge time per shard,,0,min
All,Median merge time per shard,,0.0085,min
All,Max merge time per shard,,32.18725,min
All,Total merge throttle time,,17.796333333333333,min
All,Min merge throttle time per shard,,0,min
All,Median merge throttle time per shard,,0,min
All,Max merge throttle time per shard,,3.4945333333333335,min
All,Total refresh time,,108.463,min
All,Min refresh time per shard,,0,min
All,Median refresh time per shard,,0.02475,min
All,Max refresh time per shard,,14.77725,min
All,Total flush time,,0.8636666666666667,min
All,Min flush time per shard,,0,min
All,Median flush time per shard,,0.007666666666666667,min
All,Max flush time per shard,,0.039066666666666666,min
All,Total Young Gen GC,,241.001,s
All,Total Old Gen GC,,0.845,s
All,Store size,,21.831596113741398,GB
All,Translog size,,1.0846424233168364,GB
All,Heap used for segments,,50.39960193634033,MB
All,Heap used for doc values,,2.3009185791015625,MB
All,Heap used for terms,,43.28468704223633,MB
All,Heap used for norms,,0.57275390625,MB
All,Heap used for points,,0.5372323989868164,MB
All,Heap used for stored fields,,3.704010009765625,MB
All,Segment count,,650,
All,Min Throughput,index-append,57075.92,docs/s
All,Median Throughput,index-append,57450.84,docs/s
All,Max Throughput,index-append,59001.97,docs/s
All,50th percentile latency,index-append,2590.9913439827505,ms
All,90th percentile latency,index-append,3302.2039213916287,ms
All,99th percentile latency,index-append,3751.1172104184507,ms
All,100th percentile latency,index-append,4029.475226008799,ms
All,50th percentile service time,index-append,2590.9913439827505,ms
All,90th percentile service time,index-append,3302.2039213916287,ms
All,99th percentile service time,index-append,3751.1172104184507,ms
All,100th percentile service time,index-append,4029.475226008799,ms
All,error rate,index-append,0.00,%
All,Min Throughput,index-stats,24.21,ops/s
All,Median Throughput,index-stats,24.41,ops/s
All,Max Throughput,index-stats,24.82,ops/s
All,50th percentile latency,index-stats,31023.020140492008,ms
All,90th percentile latency,index-stats,42987.279393698554,ms
All,99th percentile latency,index-stats,45967.60069497599,ms
All,99.9th percentile latency,index-stats,46211.7354311618,ms
