Lap,Metric,Task,Value,Unit
All,90th percentile service time,country_agg_cached,14.771085811662488,ms
All,99th percentile service time,country_agg_cached,31.310615931870416,ms
All,99.9th percentile service time,country_agg_cached,45.1107421724352,ms
All,100th percentile service time,country_agg_cached,102.44751701247878,ms
All,error rate,country_agg_cached,0.00,%
All,Min Throughput,scroll,17.77,pages/s
All,Median Throughput,scroll,17.83,pages/s
All,Max Throughput,scroll,17.89,pages/s
All,50th percentile latency,scroll,101983.37731001084,ms
All,90th percentile latency,scroll,116624.91002950119,ms
All,99th percentile latency,scroll,120148.14557762991,ms
All,100th percentile latency,scroll,120488.64980399958,ms
All,50th percentile service time,scroll,1363.9094945101533,ms
All,90th percentile service time,scroll,1466.1395288974747,ms
All,99th percentile service time,scroll,1569.4582723977512,ms
All,100th percentile service time,scroll,1594.0135800046846,ms
All,error rate,scroll,0.00,%
All,Min Throughput,expression,1.28,ops/s
All,Median Throughput,expression,1.28,ops/s
All,Max Throughput,expression,1.28,ops/s
All,50th percentile latency,expression,70709.4596105162,ms
All,90th percentile latency,expression,82250.8775650058,ms
All,99th percentile latency,expression,84823.88288311136,ms
All,100th percentile latency,expression,85135.56399900699,ms
All,50th percentile service time,expression,762.86568249634,ms
All,90th percentile service time,expression,847.9250937118195,ms
All,99th percentile service time,expression,993.3982453585495,ms
All,100th percentile service time,expression,1180.3427539998665,ms
All,error rate,expression,0.00,%
All,Min Throughput,painless_static,0.83,ops/s
All,Median Throughput,painless_static,0.83,ops/s
All,Max Throughput,painless_static,0.83,ops/s
All,50th percentile latency,painless_static,134984.9021916889,ms
All,90th percentile latency,painless_static,155265.84895678097,ms
All,99th percentile latency,painless_static,160626.53454884596,ms
All,100th percentile latency,painless_static,161072.8966886818,ms
All,50th percentile service time,painless_static,1172.2525249933824,ms
All,90th percentile service time,painless_static,1291.9964114029426,ms
All,99th percentile service time,painless_static,1378.7784558706348,ms
All,100th percentile service time,painless_static,1622.1668739744928,ms
All,error rate,painless_static,0.00,%
All,Min Throughput,painless_dynamic,0.73,ops/s
All,Median Throughput,painless_dynamic,0.73,ops/s
All,Max Throughput,painless_dynamic,0.73,ops/s
All,50th percentile latency,painless_dynamic,177891.5507386846,ms
All,90th percentile latency,painless_dynamic,204706.8519884866,ms
All,99th percentile latency,painless_dynamic,210922.98238900927,ms
All,100th percentile latency,painless_dynamic,211529.25261165365,ms
All,50th percentile service time,painless_dynamic,1365.9467439865693,ms
All,90th percentile service time,painless_dynamic,1539.3093732098353,ms
All,99th percentile service time,painless_dynamic,1663.9643379344498,ms
All,100th percentile service time,painless_dynamic,1829.027327010408,ms
All,error rate,painless_dynamic,0.00,%
All,error rate,large_terms,0.00,%
All,Min Throughput,large_filtered_terms,0.77,ops/s
All,Median Throughput,large_filtered_terms,0.77,ops/s
All,Max Throughput,large_filtered_terms,0.78,ops/s
All,50th percentile latency,large_filtered_terms,198722.59570001916,ms
All,90th percentile latency,large_filtered_terms,228465.3204230999,ms
All,99th percentile latency,large_filtered_terms,234899.3513640127,ms
All,100th percentile latency,large_filtered_terms,235669.4572160195,ms
All,50th percentile service time,large_filtered_terms,1251.267272484256,ms
All,90th percentile service time,large_filtered_terms,1352.9889701021602,ms
All,99th percentile service time,large_filtered_terms,1479.3298726191279,ms
All,100th percentile service time,large_filtered_terms,1484.470905008493,ms
All,error rate,large_filtered_terms,0.00,%
All,Min Throughput,large_prohibited_terms,0.81,ops/s
All,Median Throughput,large_prohibited_terms,0.81,ops/s
All,Max Throughput,large_prohibited_terms,0.81,ops/s
All,50th percentile latency,large_prohibited_terms,184930.25976148783,ms
All,90th percentile latency,large_prohibited_terms,214174.1978950973,ms
All,99th percentile latency,large_prohibited_terms,221050.6632406931,ms
All,100th percentile latency,large_prohibited_terms,221904.1343909921,ms
All,50th percentile service time,large_prohibited_terms,1231.5668484952766,ms
All,90th percentile service time,large_prohibited_terms,1300.3782521933317,ms
All,99th percentile service time,large_prohibited_terms,1366.2178210105055,ms
All,100th percentile service time,large_prohibited_terms,1512.8846389998216,ms
All,error rate,large_prohibited_terms,0.00,%
