Lap,Metric,Task,Value,Unit
All,Total indexing time,,220.85951666666668,min
All,Min indexing time per shard,,0,min
All,Median indexing time per shard,,0.0228,min
All,Max indexing time per shard,,19.382366666666666,min
All,Total merge time,,283.32505000000003,min
All,Min merge time per shard,,0,min
All,Median merge time per shard,,0.020133333333333333,min
All,Max merge time per shard,,32.18725,min
All,Total merge throttle time,,20.680133333333334,min
All,Min merge throttle time per shard,,0,min
All,Median merge throttle time per shard,,0,min
All,Max merge throttle time per shard,,3.4945333333333335,min
All,Total refresh time,,135.66913333333335,min
All,Min refresh time per shard,,0,min
All,Median refresh time per shard,,0.030833333333333334,min
All,Max refresh time per shard,,14.77725,min
All,Total flush time,,0.9689833333333334,min
All,Min flush time per shard,,0,min
All,Median flush time per shard,,0.009533333333333333,min
All,Max flush time per shard,,0.039066666666666666,min
All,Total Young Gen GC,,262.907,s
All,Total Old Gen GC,,0.844,s
All,Store size,,26.983052326366305,GB
All,Translog size,,2.0383107708767056,GB
All,Heap used for segments,,56.20574188232422,MB
All,Heap used for doc values,,2.3116989135742188,MB
All,Heap used for terms,,48.224928855895996,MB
All,Heap used for norms,,0.55419921875,MB
All,Heap used for points,,0.6230936050415039,MB
All,Heap used for stored fields,,4.4918212890625,MB
All,Segment count,,684,
All,Min Throughput,index-append,51853.96,docs/s
All,Median Throughput,index-append,52730.17,docs/s
All,Max Throughput,index-append,54012.44,docs/s
All,50th percentile latency,index-append,7434.208713995758,ms
All,90th percentile latency,index-append,8657.312658897717,ms
All,100th percentile latency,index-append,10128.691873018397,ms
All,50th percentile service time,index-append,7434.208713995758,ms
All,90th percentile service time,index-append,8657.312658897717,ms
All,100th percentile service time,index-append,10128.691873018397,ms
All,error rate,index-append,0.00,%
All,Min Throughput,index-stats,24.41,ops/s
All,Median Throughput,index-stats,24.53,ops/s
All,Max Throughput,index-stats,24.75,ops/s
All,50th percentile latency,index-stats,30816.112107495428,ms
All,90th percentile latency,index-stats,43267.39234419074,ms
All,99th percentile latency,index-stats,46091.0752757694,ms
All,99.9th percentile latency,index-stats,46332.94956046849,ms
All,100th percentile latency,index-stats,46359.105865994934,ms
All,50th percentile service time,index-stats,37.85012650769204,ms
All,90th percentile service time,index-stats,46.4900610037148,ms
All,99th percentile service time,index-stats,107.26010857644722,ms
All,99.9th percentile service time,index-stats,141.70962360032757,ms
All,100th percentile service time,index-stats,146.12782298354432,ms
All,error rate,index-stats,0.00,%
All,Min Throughput,node-stats,24.82,ops/s
All,Median Throughput,node-stats,25.31,ops/s
All,Max Throughput,node-stats,25.89,ops/s
All,50th percentile latency,node-stats,17890.141646988923,ms
All,90th percentile latency,node-stats,29419.751689894474,ms
All,99th percentile latency,node-stats,32009.41433457483,ms
All,99.9th percentile latency,node-stats,32256.685004801988,ms
All,100th percentile latency,node-stats,32282.707786012907,ms
All,50th percentile service time,node-stats,36.116128496360034,ms
All,90th percentile service time,node-stats,45.529248600360006,ms
All,99th percentile service time,node-stats,103.41168181737885,ms
All,99.9th percentile service time,node-stats,135.40747008158368,ms
All,100th percentile service time,node-stats,136.22871701954864,ms
All,error rate,node-stats,0.00,%
All,Min Throughput,default,22.83,ops/s
All,Median Throughput,default,23.13,ops/s
All,Max Throughput,default,23.28,ops/s
All,50th percentile latency,default,23280.019245983567,ms
All,90th percentile latency,default,32227.7395244746,ms
All,99th percentile latency,default,34235.372508553264,ms
All,99.9th percentile latency,default,34433.41904241996,ms
All,100th percentile latency,default,34451.16271596635,ms
All,50th percentile service time,default,40.1976045104675,ms
All,90th percentile service time,default,51.57809040392749,ms
All,99th percentile service time,default,67.4594924956909,ms
All,99.9th percentile service time,default,106.95666400491645,ms
All,100th percentile service time,default,110.87674900772981,ms
All,error rate,default,0.00,%
All,Min Throughput,term,74.35,ops/s
All,Median Throughput,term,74.90,ops/s
All,Max Throughput,term,76.89,ops/s
All,50th percentile latency,term,8420.804136025254,ms
All,90th percentile latency,term,11712.697147307335,ms
All,99th percentile latency,term,12493.90577808168,ms
All,99.9th percentile latency,term,12565.423078093823,ms
All,100th percentile latency,term,12571.590977022424,ms
